language_number	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
21	Ukrainian	cerez_ACC	adposition	yes	no	yes	no	no	no	n.a.	n.a.
21	Ukrainian	INS	adposition	yes	no	yes	no	no	no	n.a.	n.a.
21	Ukrainian	na_ACC	adposition	no	yes	no	no	no	no	n.a.	n.a.
21	Ukrainian	pislja_GEN	adposition	no	no	no	no	no	yes	n.a.	n.a.
21	Ukrainian	v_silu_GEN	adposition	yes	no	no	no	no	no	no	n.a.
21	Ukrainian	vid_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
21	Ukrainian	z_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
21	Ukrainian	za_ACC	adposition	yes	yes	no	no	no	no	n.a.	n.a.
21	Ukrainian	zavdjaky_DAT	adposition	yes	no	no	no	no	no	no	n.a.
