language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
34	Standard Indonesian	karena	adposition	yes	no	no	no	no	no	no	n.a.
34	Standard Indonesian	dengan	adposition	yes	no	yes	no	no	no	n.a.	n.a.
34	Standard Indonesian	dari	adposition	yes	no	no	no	no	yes	n.a.	n.a.
34	Standard Indonesian	ke	adposition	no	no	no	no	yes	no	n.a.	n.a.
34	Standard Indonesian	kepada	adposition	no	no	no	no	yes	no	n.a.	n.a.
34	Standard Indonesian	secara	adposition	yes	no	yes	no	no	no	n.a.	n.a.
34	Standard Indonesian	dalam	adposition	no	no	no	yes	no	no	n.a.	n.a.
