language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
6	Assyrian Neo-Aramaic	man	adposition	yes	no	yes	no	no	yes	n.a.	
6	Assyrian Neo-Aramaic	but	adposition	yes	no	no	no	yes	no	n.a.	
6	Assyrian Neo-Aramaic	bi	adposition	no	no	yes	yes	no	no	n.a.	
6	Assyrian Neo-Aramaic	 +al	adposition	no	yes	no	yes	no	no	n.a.	
6	Assyrian Neo-Aramaic	avə_+raba_basima_ka	adposition	yes	no	no	no	no	no	no	
6	Assyrian Neo-Aramaic	risat	adposition	yes	no	no	no	no	no	no	
6	Assyrian Neo-Aramaic	man_+bar	adposition	no	no	no	no	no	yes	n.a.	
