language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
28	Basque	ABL	affix	yes	no	yes	no	no	yes	n.a.	n.a.
28	Basque	COM	affix	yes	no	yes	no	no	no	n.a.	n.a.
28	Basque	DAT_esker	adposition	yes	no	no	no	no	no	no	n.a.
28	Basque	GEN_ondorioz	adposition	yes	no	no	no	no	no	no	n.a.
28	Basque	ikusirik	adposition	yes	no	no	no	no	no	no	n.a.
28	Basque	INS	affix	yes	no	yes	no	yes	no	n.a.	n.a.
28	Basque	MOT	affix	yes	no	no	no	no	no	no	n.a.
