language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
8	Guro	le_wi_ma	adposition	yes	yes	no	no	no	no	n.a.	
8	Guro	lee	adposition	yes	no	no	no	no	no	yes	possession
8	Guro	wii	adposition	yes	no	no	no	no	no	no	
8	Guro	nya	adposition	yes	no	yes	no	no	no	n.a.	
8	Guro	ma	adposition	yes	yes	no	yes	no	yes	n.a.	
8	Guro	pa_ji_nya	adposition	yes	no	no	no	no	no	no	
8	Guro	zuo	adposition	no	yes	no	yes	no	yes	n.a.	
8	Guro	yalama	adposition	yes	no	no	no	no	no	no	
8	Guro	va	adposition	no	yes	no	yes	no	yes	n.a.	
8	Guro	wi_ma	adposition	yes	no	no	no	no	no	no	
8	Guro	le_wi_ta	adposition	yes	no	no	no	no	no	no	
8	Guro	pai	adposition	yes	no	no	no	no	no	yes	oblique agent
