language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
42	Adyghe	paje	adposition	yes	yes	no	no	no	no	n.a.	
42	Adyghe	fesce	adposition	yes	yes	no	no	no	no	n.a.	
42	Adyghe	qaxecace	adposition	yes	no	no	no	no	no	n.a.	
42	Adyghe	qaxecew	adposition	yes	no	no	no	no	no	n.a.	
42	Adyghe	jajakece	adposition	yes	no	no	no	no	no	n.a.	
42	Adyghe	jazerarce	adposition	yes	no	no	no	no	no	n.a.	
42	Adyghe	apq_qjacew	adposition	yes	no	no	no	no	no	n.a.	
42	Adyghe	jaswakece	adposition	yes	no	no	no	no	no	n.a.	
42	Adyghe	jalazece	adposition	yes	no	no	no	no	no	n.a.	
42	Adyghe	INS	affix	yes	no	yes	no	no	yes	yes	orientation
42	Adyghe	jahatarce	adposition	yes	yes	yes	no	no	no	n.a.	
42	Adyghe	BEN	affix	no	yes	no	no	no	no	n.a.	
42	Adyghe	jelatakew	adposition	yes	no	no	no	no	no	n.a.	
42	Adyghe	DAT	affix	no	yes	no	no	no	no	n.a.	
