language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
33	Eskimo (Central Siberian Yupik)	INS	affix	yes	no	yes	no	yes	yes	yes	material, standard of comparison
33	Eskimo (Central Siberian Yupik)	antalananan_REL	adposition	yes	no	no	no	no	no	no	
33	Eskimo (Central Siberian Yupik)	REL	affix	yes	no	no	no	no	no	yes	subject, possessor
33	Eskimo (Central Siberian Yupik)	kanlanani_REL	adposition	no	yes	no	no	no	yes	n.a.	
33	Eskimo (Central Siberian Yupik)	ABS	affix	no	no	no	no	yes	no	yes	subject
