language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
16	Udmurt (South)	ABL	affix	yes	no	no	no	no	yes	n.a.	possessor; demoted agent; standard of comparison
16	Udmurt (South)	ADV	affix	no	no	yes	no	no	no	n.a.	n.a.
16	Udmurt (South)	bere	adposition	no	no	no	no	no	yes	n.a.	n.a.
16	Udmurt (South)	DAT	affix	no	yes	no	no	no	no	n.a.	experiencer subject
16	Udmurt (South)	DAT_luysa	adposition	yes	no	no	no	no	no	no	n.a.
16	Udmurt (South)	INS	affix	yes	no	yes	no	no	no	n.a.	demoted agent
16	Udmurt (South)	ponna	adposition	yes	yes	no	no	no	no	n.a.	n.a.
