language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
10	Belarusian	praz_ACC	adposition	yes	no	yes	no	no	no	no	n.a.
10	Belarusian	z-za_GEN	adposition	yes	no	no	no	no	yes	no	n.a.
10	Belarusian	ad_GEN	adposition	yes	no	no	no	no	yes	no	n.a.
10	Belarusian	dzjakujucy_DAT	adposition	yes	no	no	no	no	no	no	n.a.
10	Belarusian	z_GEN	adposition	yes	no	no	no	no	yes	no	n.a.
10	Belarusian	mjarkujucy_pa_LOC	adposition	yes	no	no	no	no	no	no	n.a.
10	Belarusian	na_ACC	adposition	no	no	no	yes	no	no	no	n.a.
10	Belarusian	za_ACC	adposition	yes	no	no	yes	no	no	no	n.a.
10	Belarusian	pa_DAT	adposition	yes	no	yes	no	no	no	no	n.a.
10	Belarusian	INS	affix	no	no	yes	no	no	no	no	n.a.
10	Belarusian	z_pricyny_GEN	adposition	yes	no	no	no	no	no	no	n.a.
10	Belarusian	pavodle_GEN	adposition	no	no	no	no	no	no	no	n.a.
10	Belarusian	u_LOC	adposition	no	no	no	yes	no	no	no	n.a.
