language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
4	French	a_cause_de	adposition	yes	no	no	no	no	no	no	n.a.
4	French	contre	adposition	no	yes	no	yes	no	no	n.a.	n.a.
4	French	de	adposition	yes	no	no	no	no	yes	n.a.	n.a.
4	French	grace_a	adposition	yes	no	no	no	no	no	no	n.a.
4	French	par	adposition	yes	no	yes	no	no	no	n.a.	n.a.
4	French	pour	adposition	yes	yes	no	no	no	no	n.a.	n.a.
4	French	sous	adposition	no	yes	no	yes	no	no	n.a.	n.a.
4	French	suite_a	adposition	no	no	no	no	no	yes	n.a.	n.a.
