language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
24	Polish	dzieki_DAT	adposition	yes	no	no	no	no	no	no	n.a.
24	Polish	INS	affix	yes	no	yes	no	no	no	n.a.	n.a.
24	Polish	na_ACC	adposition	no	yes	no	no	no	no	n.a.	n.a.
24	Polish	o_ACC	adposition	no	yes	no	no	yes	no	n.a.	n.a.
24	Polish	od_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
24	Polish	pod_INS	adposition	no	no	no	yes	no	no	n.a.	n.a.
24	Polish	przez_ACC	adposition	yes	no	yes	no	no	no	n.a.	n.a.
24	Polish	sadzac_po_LOC	adposition	yes	no	no	no	no	no	no	n.a.
24	Polish	w_LOC	adposition	no	no	no	yes	no	no	n.a.	n.a.
24	Polish	w_wyniku_GEN	adposition	yes	no	no	no	no	no	no	n.a.
24	Polish	wedlug_GEN	adposition	no	no	yes	no	no	no	n.a.	n.a.
24	Polish	wnoszac_po_LOC	adposition	yes	no	no	no	no	no	no	n.a.
24	Polish	z_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
24	Polish	z_powodu_GEN	adposition	yes	no	no	no	no	no	no	n.a.
24	Polish	za_ACC	adposition	yes	yes	no	no	no	no	n.a.	n.a.
24	Polish	za_przyczyna_GEN	adposition	yes	no	no	no	no	no	no	n.a.
24	Polish	ze_wzgledu_na_ACC	adposition	yes	no	no	no	no	no	no	n.a.
24	Polish	zgodnie_z_INS	adposition	no	no	yes	no	no	no	n.a.	n.a.
