language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
37	Chinese (Mandarin)	chuyu_er	adposition	yes	no	no	no	no	no	no	n.a.
37	Chinese (Mandarin)	dui	adposition	no	yes	no	no	no	no	n.a.	n.a.
37	Chinese (Mandarin)	genju	adposition	yes	no	yes	no	no	no	n.a.	n.a.
37	Chinese (Mandarin)	jieyin_er	adposition	yes	no	no	no	no	no	no	n.a.
37	Chinese (Mandarin)	yin_er	adposition	yes	no	no	no	no	no	no	n.a.
37	Chinese (Mandarin)	yinwei_er	adposition	yes	no	no	no	no	no	no	n.a.
37	Chinese (Mandarin)	youyu_er	adposition	yes	no	no	no	no	no	no	n.a.
