language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
31	Karelian	EL	case	yes	no	no	no	no	yes	n.a.	n.a.
31	Karelian	tahte_GEN	adposition	yes	yes	no	no	no	no	n.a.	n.a.
31	Karelian	perad_GEN	adposition	yes	yes	no	no	no	no	n.a.	n.a.
31	Karelian	EL2	case	yes	no	no	no	yes	yes	n.a.	n.a.
31	Karelian	AD	case	yes	no	yes	yes	no	no	yes	possessor
31	Karelian	tähte_EL	adposition	yes	no	no	no	no	no	no	n.a.
31	Karelian	perad_EL	adposition	yes	no	no	no	no	no	no	n.a.
31	Karelian	TRANS	case	no	no	no	no	no	no	yes	final state of transformation
31	Karelian	piale_GEN	adposition	no	no	no	no	no	yes	n.a.	n.a.
