language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
22	German	an_DAT	adposition	yes	no	no	yes	no	no	n.a.	
22	German	auf_ACC	adposition	yes	yes	yes	no	no	no	n.a.	
22	German	auf_grund_GEN	adposition	yes	no	no	no	no	no	no	
22	German	aus_DAT	adposition	yes	no	no	no	no	yes	n.a.	
22	German	dank_GEN	adposition	yes	no	no	no	no	no	no	
22	German	durch_ACC	adposition	yes	no	yes	no	no	no	n.a.	
22	German	für_ACC	adposition	yes	yes	no	no	no	no	n.a.	
22	German	mit_DAT	adposition	no	no	yes	no	no	no	n.a.	
22	German	über_ACC	adposition	yes	yes	yes	no	yes	no	n.a.	
22	German	um_ACC	adposition	no	no	no	yes	no	no	n.a.	
22	German	unter_DAT	adposition	no	no	yes	yes	no	no	n.a.	
22	German	von_DAT	adposition	yes	no	no	no	no	yes	n.a.	
22	German	vor_ACC	adposition	no	yes	no	no	no	no	n.a.	
22	German	vor_DAT	adposition	yes	no	no	yes	no	no	n.a.	
22	German	wegen_DAT	adposition	yes	yes	no	no	no	no	n.a.	
22	German	wegen_GEN	adposition	yes	yes	no	no	no	no	n.a.	
22	German	zu_folge_DAT	adposition	no	no	yes	no	no	no	n.a.	
