language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
5	Catalan	a_causa_de	adposition	yes	no	no	no	no	no	no	n.a.
5	Catalan	amb	adposition	yes	no	yes	no	no	no	n.a.	n.a.
5	Catalan	de	adposition	yes	no	no	no	no	yes	n.a.	n.a.
5	Catalan	degut_a	adposition	yes	no	no	no	no	no	no	n.a.
5	Catalan	gracies_a	adposition	yes	no	no	no	no	no	no	n.a.
5	Catalan	per	adposition	yes	no	yes	no	no	no	n.a.	n.a.
5	Catalan	per_culpa_de	adposition	yes	no	no	no	no	no	no	n.a.
5	Catalan	tenint_en_compte	adposition	yes	no	no	no	no	no	no	n.a.
