language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
17	Slovenian	DAT	affix	no	yes	no	no	no	no	n.a.	n.a.
17	Slovenian	glede_GEN	adposition	no	no	no	no	yes	no	n.a.	n.a.
17	Slovenian	glede_na_ACC	adposition	yes	no	no	no	no	no	no	n.a.
17	Slovenian	iz_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
17	Slovenian	med_INS	adposition	no	no	no	yes	no	no	n.a.	n.a.
17	Slovenian	na_ACC	adposition	no	yes	no	no	no	no	n.a.	n.a.
17	Slovenian	nad_INS	adposition	no	no	no	no	yes	no	n.a.	n.a.
17	Slovenian	od_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
17	Slovenian	po_LOC	adposition	yes	no	yes	no	no	yes	no	no
17	Slovenian	pod_INS	adposition	no	no	no	yes	no	no	n.a.	n.a.
17	Slovenian	sodec_po_LOC	adposition	yes	no	no	no	no	no	no	n.a.
17	Slovenian	v_LOC	adposition	no	no	no	yes	no	no	n.a.	n.a.
17	Slovenian	z_INS	adposition	no	no	yes	no	no	no	n.a.	n.a.
17	Slovenian	za_ACC	adposition	yes	yes	no	no	no	no	n.a.	n.a.
17	Slovenian	zahvaljujoc_DAT	adposition	yes	no	no	no	no	no	no	n.a.
17	Slovenian	zaradi_GEN	adposition	yes	no	no	no	no	no	no	n.a.
