language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
11	Maloe Karachkino Chuvash	pergi	adposition	yes	no	no	no	yes	no	n.a.	
11	Maloe Karachkino Chuvash	INS	affix	yes	no	yes	no	no	no	n.a.	
11	Maloe Karachkino Chuvash	ABL	affix	yes	no	yes	no	no	yes	n.a.	
11	Maloe Karachkino Chuvash	CSL	affix	yes	yes	no	no	no	no	n.a.	
11	Maloe Karachkino Chuvash	cine	adposition	no	yes	no	no	no	no	n.a.	
11	Maloe Karachkino Chuvash	bola_OBJ	adposition	yes	no	no	no	no	no	no	
