language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
11	Chuvash (Maloe Karachkino)	pergi	adposition	yes	no	no	no	yes	no	n.a.	
11	Chuvash (Maloe Karachkino)	INS	affix	yes	no	yes	no	no	no	n.a.	
11	Chuvash (Maloe Karachkino)	ABL	affix	yes	no	yes	no	no	yes	n.a.	
11	Chuvash (Maloe Karachkino)	CSL	affix	yes	yes	no	no	no	no	n.a.	
11	Chuvash (Maloe Karachkino)	cine	adposition	no	yes	no	no	no	no	n.a.	
11	Chuvash (Maloe Karachkino)	bola_OBJ	adposition	yes	no	no	no	no	no	no	
