language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
3	Russian	blagodarja_DAT	adposition	yes	no	no	no	no	no	no	n.a.
3	Russian	INS	affix	yes	no	yes	no	no	no	n.a.	n.a.
3	Russian	iz_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
3	Russian	iz-za_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
3	Russian	na_ACC	adposition	no	yes	no	no	no	no	n.a.	n.a.
3	Russian	ot_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
3	Russian	po_DAT	adposition	yes	no	yes	no	no	no	n.a.	n.a.
3	Russian	po_prichine_GEN	adposition	yes	no	no	no	no	no	no	n.a.
3	Russian	po_vine_GEN	adposition	yes	no	no	no	no	no	no	n.a.
3	Russian	pod_INS	adposition	no	no	no	yes	no	no	n.a.	n.a.
3	Russian	posle_GEN	adposition	no	no	no	no	no	yes	n.a.	n.a.
3	Russian	s_GEN	adposition	yes	no	no	no	no	yes	n.a.	n.a.
3	Russian	soglasno_DAT	adposition	no	no	yes	no	no	no	n.a.	n.a.
3	Russian	sudja_po_DAT	adposition	yes	no	no	no	no	no	no	n.a.
3	Russian	v_LOC	adposition	no	no	no	yes	no	no	n.a.	n.a.
3	Russian	v_silu_GEN	adposition	yes	no	no	no	no	no	no	n.a.
3	Russian	za_ACC	adposition	yes	yes	no	no	no	no	n.a.	n.a.
