language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
26	Albanian	duke_gjykuar_nga_NOM	adposition	yes	no	no	no	no	no	no	n.a.
26	Albanian	fale_DAT	adposition	yes	no	no	no	no	no	no	n.a.
26	Albanian	mbi_ACC	adposition	no	yes	no	yes	no	no	n.a.	n.a.
26	Albanian	me_ACC	adposition	yes	no	yes	no	no	no	n.a.	n.a.
26	Albanian	nga_NOM	adposition	yes	yes	yes	no	no	yes	n.a.	n.a.
26	Albanian	per_ACC	adposition	yes	yes	no	no	yes	no	n.a.	n.a.
26	Albanian	per_shkak_te_GEN	adposition	yes	no	no	no	no	no	no	n.a.
26	Albanian	sipas_DAT	adposition	no	no	yes	no	no	no	n.a.	n.a.
