language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
23	Italian	per	adposition	yes	yes	yes	no	no	no	n.a.	
23	Italian	a_causa_di	adposition	yes	no	no	no	no	no	no	
23	Italian	da	adposition	yes	yes	yes	no	no	yes	n.a.	
23	Italian	di	adposition	yes	no	no	no	yes	yes	n.a.	
23	Italian	grazie_a	adposition	yes	no	yes	no	no	no	n.a.	
23	Italian	per_colpa_di	adposition	yes	no	no	no	no	no	no	
23	Italian	secondo	adposition	no	no	yes	no	no	no	n.a.	
23	Italian	con	adposition	no	no	yes	no	no	no	n.a.	
23	Italian	per_merito_di	adposition	yes	no	no	no	no	no	no	
