language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
18	Swedish	av	adposition	yes	no	no	no	no	no	yes	possessive
18	Swedish	efter	adposition	no	no	no	no	no	yes	n.a.	n.a.
18	Swedish	for	adposition	yes	yes	no	no	no	no	n.a.	n.a.
18	Swedish	med	adposition	no	no	yes	no	no	no	n.a.	n.a.
18	Swedish	om	adposition	no	no	no	no	yes	no	n.a.	n.a.
18	Swedish	pa	adposition	no	yes	no	yes	no	no	n.a.	n.a.
18	Swedish	pa_grund_av	adposition	yes	no	no	no	no	no	no	n.a.
18	Swedish	tack_vare	adposition	yes	no	no	no	no	no	no	n.a.
