language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
44	Erzya	ABL	affix	yes	no	no	no	no	yes	n.a.	
44	Erzya	DAT	affix	yes	yes	no	no	no	no	n.a.	
44	Erzya	ejste_GEN	adposition	yes	no	no	no	no	yes	n.a.	
44	Erzya	kise_GEN	adposition	yes	yes	yes	no	no	no	n.a.	
44	Erzya	kuvalma_GEN	adposition	yes	no	yes	no	no	no	n.a.	
44	Erzya	langs_GEN	adposition	yes	yes	no	no	no	no	n.a.	
44	Erzya	maro_GEN	adposition	yes	no	yes	no	no	no	n.a.	
44	Erzya	mejle_ABL	adposition	no	no	no	no	no	no	no	
44	Erzya	pachk_GEN	adposition	yes	no	yes	no	no	no	n.a.	
44	Erzya	vidga_GEN	adposition	yes	no	yes	no	no	no	n.a.	
44	Erzya	lagso_GEN	adposition	no	no	no	yes	no	no	n.a.	
44	Erzya	langa_GEN	adposition	no	yes	yes	yes	no	no	n.a.	
