language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
12	Shughni	az	adposition	yes	no	yes	yes	yes	yes	n.a.	n.a.
12	Shughni	az_dasti	adposition	yes	yes	no	no	no	no	n.a.	n.a.
12	Shughni	az_rui	adposition	yes	no	no	no	no	no	no	n.a.
12	Shughni	bladodara	adposition	yes	no	no	no	no	no	no	n.a.
12	Shughni	dar	adposition	yes	no	no	yes	no	no	n.a.	n.a.
12	Shughni	daroyi	adposition	yes	yes	no	no	no	no	n.a.	n.a.
12	Shughni	jat	adposition	yes	yes	no	no	no	no	n.a.	n.a.
12	Shughni	LOC	affix	yes	no	no	yes	no	no	n.a.	n.a.
12	Shughni	qullu	adposition	yes	no	no	no	no	no	no	n.a.
12	Shughni	tar	adposition	yes	yes	no	yes	no	no	n.a.	n.a.
