language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
34	Indonesian (Standard)	karena	adposition	yes	no	no	no	no	no	no	n.a.
34	Indonesian (Standard)	dengan	adposition	yes	no	yes	no	no	no	n.a.	n.a.
34	Indonesian (Standard)	dari	adposition	yes	no	no	no	no	yes	n.a.	n.a.
34	Indonesian (Standard)	ke	adposition	no	no	no	no	yes	no	n.a.	n.a.
34	Indonesian (Standard)	kepada	adposition	no	no	no	no	yes	no	n.a.	n.a.
34	Indonesian (Standard)	secara	adposition	yes	no	yes	no	no	no	n.a.	n.a.
34	Indonesian (Standard)	dalam	adposition	no	no	no	yes	no	no	n.a.	n.a.
