language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
25	Spanish	por	adposition	yes	yes	yes	no	no	no	n.a.	
25	Spanish	de	adposition	yes	no	no	no	yes	yes	n.a.	
25	Spanish	con	adposition	yes	yes	yes	no	no	no	n.a.	
25	Spanish	gracias_a	adposition	yes	no	no	no	no	no	no	
25	Spanish	debido_a	adposition	yes	no	no	no	no	no	no	
25	Spanish	por_culpa_de	adposition	yes	no	no	no	no	no	no	
25	Spanish	sobre	adposition	yes	yes	no	yes	yes	no	n.a.	
27	Spanish	a_causa_de	adposition	yes	no	no	no	no	no	no	
28	Spanish	segun	adposition	yes	no	no	no	no	no	no	
