language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
31	Kazakh	ABL	case	yes	no	no	no	no	yes	n.a.	
31	Kazakh	COM	case	yes	no	yes	no	no	no	n.a.	
31	Kazakh	DAT	case	no	yes	no	no	no	no	n.a.	
31	Kazakh	GEN_arqasinda	adposition	yes	no	no	no	no	no	no	
31	Kazakh	GEN_kesirinen	adposition	yes	no	no	no	no	no	no	
31	Kazakh	NOM_sebebinen	adposition	yes	no	no	no	no	no	no	
31	Kazakh	NOM_usin	adposition	yes	yes	no	no	no	no	n.a.	
