language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
35	Norwegian_Bokmal	pa_grunn_av	adposition	yes	no	no	no	no	no	no	n.a.
35	Norwegian_Bokmal	av	adposition	yes	no	no	no	no	yes	n.a.	n.a.
35	Norwegian_Bokmal	takket_vare	adposition	yes	no	no	no	no	no	no	n.a.
35	Norwegian_Bokmal	i	adposition	no	yes	no	yes	no	no	n.a.	n.a.
35	Norwegian_Bokmal	over	adposition	yes	yes	yes	yes	no	no	n.a.	n.a.
35	Norwegian_Bokmal	ved	adposition	yes	no	no	yes	no	no	n.a.	n.a.
35	Norwegian_Bokmal	med	adposition	no	no	yes	no	no	no	n.a.	n.a.
35	Norwegian_Bokmal	pa	adposition	no	yes	no	yes	no	no	n.a.	n.a.
35	Norwegian_Bokmal	for	adposition	yes	yes	no	yes	no	no	n.a.	n.a.
