language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
33	Central Siberian Yupik	INS	case	yes	no	yes	no	yes	yes	yes	material, standard of comparison
33	Central Siberian Yupik	antalananan_REL	adposition	yes	no	no	no	no	no	no	
33	Central Siberian Yupik	REL	case	yes	no	no	no	no	no	yes	subject, possessor
33	Central Siberian Yupik	kanlanani_REL	adposition	no	yes	no	no	no	yes	n.a.	
