language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
13	Arabic	min_GEN	adposition	yes	no	yes	no	no	yes	n.a.	
13	Arabic	bi_GEN	adposition	yes	no	yes	yes	no	no	n.a.	
13	Arabic	li_GEN	adposition	yes	yes	no	no	no	no	n.a.	
13	Arabic	bi_sababi_GEN	adposition	yes	no	no	no	no	no	no	
13	Arabic	galaa_GEN	adposition	no	yes	yes	yes	no	no	n.a.	
13	Arabic	dzaraa?a_GEN	adposition	yes	no	no	no	no	no	no	
13	Arabic	bi_fadgli_GEN	adposition	yes	no	no	no	no	no	no	
13	Arabic	natiidzata_GEN	adposition	yes	no	no	no	no	no	no	
13	Arabic	gan_GEN	adposition	yes	no	no	no	yes	yes	n.a.	
13	Arabic	bi_hukmi_GEN	adposition	yes	no	no	no	no	no	no	
13	Arabic	bi_hukmi_galaa_GEN	adposition	yes	no	no	no	no	no	no	
13	Arabic	hasaba_GEN	adposition	no	no	yes	no	no	no	n.a.	
13	Arabic	ACC	affix	no	no	no	no	yes	no	n.a.	
13	Arabic	min_dzaraa?i_GEN	adposition	yes	no	no	no	no	no	no	
